Site,Plot,SoilTemp,SoilMoist,Slope,Aspect,Date,Collectors
Zmud,32,21.1,1.8,7.05,SW,7/12/2022,BJR + ARM
Zmud,33,22.5,1.5,26.61,E,7/12/2022,BJR + ARM
Zmud,34,19.7,1.4,34.21,N,7/12/2022,BJR + ARM
Zmud,35,21.9,1.7,4.07,N,7/12/2022,BJR + ARM
Zmud,36,22,1.8,17.81,S,7/12/2022,BJR + ARM
Zmud,37,20.1,0.6,25.34,NE,7/12/2022,BJR + ARM
Zmud,38,21.7,2.2,8.25,SE,7/12/2022,BJR + ARM
Zmud,39,19.6,1.5,30.01,NE,7/12/2022,BJR + ARM
Zmud,40,19.3,2.4,18.59,W,7/12/2022,BJR + ARM
Zmud,41,21.8,1.4,21.94,SW,7/12/2022,BJR + ARM
Zmud,42,21.6,2.6,21.2,W,7/12/2022,BJR + ARM
Zmud,43,23.7,4.8,2.8,W,7/12/2022,BJR + ARM
Zmud,44,20.3,2.4,18.16,W,7/12/2022,BJR + ARM
TeMi,1,24.6,2.2,15.84,S,8/8/2022,BJR + ARM
TeMi,2,25.1,2.1,2.71,N,8/8/2022,BJR + ARM
TeMi,3,25.1,2.1,1.3,N,8/8/2022,BJR + ARM
TeMi,4,24.8,1.6,4.75,S,8/8/2022,BJR + ARM
TeMi,5,24.7,2,7.71,SE,8/8/2022,BJR + ARM
TeMi,6,25.3,1.8,10.09,E,8/8/2022,BJR + ARM
TeMi,7,23.8,1.5,2.89,W,8/8/2022,BJR + ARM
TeMi,8,24.5,2.2,0.21,SE,8/8/2022,BJR + ARM
TeMi,9,24.1,1.6,18.54,N,8/8/2022,BJR + ARM
TeMi,10,24,1.5,7.17,N,8/8/2022,BJR + ARM
TeMi,11,24.9,1.7,8.71,NE,8/8/2022,BJR + ARM
TeMi,12,25,2,10.57,E,8/8/2022,BJR + ARM
TeMi,13,24.3,1.3,12.57,NE,8/8/2022,BJR + ARM
TeMi,14,24.5,1.9,17.8,E,8/8/2022,BJR + ARM
TeMi,15,23.6,1.5,15.54,NE,8/8/2022,BJR + ARM
TeMi,16,24.4,1.8,14.34,SE,8/8/2022,BJR + ARM
TeMi,17,24.6,1.7,1.31,NE,8/8/2022,BJR + ARM
TeMi,18,24.2,1.6,10.27,NE,8/8/2022,BJR + ARM
TeMi,19,24.6,1.2,12.64,SW,8/8/2022,BJR + ARM
TeMi,20,26.3,1.4,7.17,N,8/8/2022,BJR + ARM
TeMi,21,25.4,1.7,1.27,S,8/8/2022,BJR + ARM
TeMi,22,24,1.2,11.71,W,8/8/2022,BJR + ARM
TeMi,23,24.8,1.7,23.67,NE,8/8/2022,BJR + ARM
TeMi,24,24.5,1.2,8.89,S,8/8/2022,BJR + ARM
TeMi,25,25,2.1,20.21,N,8/8/2022,BJR + ARM
TeMi,26,25.8,1.7,11.23,S,8/8/2022,BJR + ARM
TeMi,28,24.9,2.2,0.72,N,8/8/2022,BJR + ARM
TeMi,29,24.2,1.3,28.63,NE,8/8/2022,BJR + ARM
TeMi,31,23.4,1.6,22.77,S,8/8/2022,BJR + ARM
TeMi,32,24.7,1.9,7.18,E,8/8/2022,BJR + ARM
TeMi,33,23.2,2,11.92,NW,8/8/2022,BJR + ARM
TeMi,34,25.6,1.3,13.54,NW,8/8/2022,BJR + ARM
TeMi,35,25.1,1.7,16.91,N,8/8/2022,BJR + ARM
TeMi,36,24.7,1.6,20.81,W,8/8/2022,BJR + ARM
TeMi,37,25.6,2.2,18.78,NE,8/8/2022,BJR + ARM
TeMi,38,25.7,2,19.37,SW,8/8/2022,BJR + ARM
TeMi,39,26.2,1.6,2.78,N,8/8/2022,BJR + ARM
TeMi,40,25.3,1.8,6.37,S,8/8/2022,BJR + ARM
TeMi,48,25.1,2,2.09,E,8/8/2022,BJR + ARM
TeMi,50,26.8,2.1,0.29,W,8/8/2022,BJR + ARM
GuNi,1,17.7,1.7,16.32,S,7/18/2022,BJR + ARM
GuNi,2,17.2,1.4,33.91,N,7/18/2022,BJR + ARM
GuNi,3,18.4,0.9,1.43,W,7/18/2022,BJR + ARM
GuNi,4,18.4,1.2,12.57,S,7/18/2022,BJR + ARM
GuNi,5,17.8,1.3,21.79,NE,7/18/2022,BJR + ARM
GuNi,6,18.2,1,30.7,N,7/18/2022,BJR + ARM
GuNi,7,17.3,0.8,45.26,S,7/18/2022,BJR + ARM
GuNi,8,18.9,1.2,31.7,SE,7/18/2022,BJR + ARM
GuNi,9,18.4,0.8,33.21,SW,7/18/2022,BJR + ARM
GuNi,10,18.1,2.6,4.4,S,7/18/2022,BJR + ARM
GuNi,11,18.7,1.7,11.05,W,7/18/2022,BJR + ARM
GuNi,12,18.2,1.1,30.64,NE,7/18/2022,BJR + ARM
GuNi,13,18.9,1.2,21.25,S,7/18/2022,BJR + ARM
GuNi,14,19.2,1,10.42,SW,7/18/2022,BJR + ARM
GuNi,15,18.7,1.3,3.26,W,7/18/2022,BJR + ARM
GuNi,16,20.1,1,7.94,SE,7/18/2022,BJR + ARM
GuNi,17,17.9,1.5,12.62,NW,7/18/2022,BJR + ARM
GuNi,18,18.8,1,34.33,N,7/18/2022,BJR + ARM
GuNi,19,18.5,1.1,25.21,S,7/18/2022,BJR + ARM
GuNi,20,18.4,1,25.7,NW,7/18/2022,BJR + ARM
GuNi,21,19.2,1.5,11.41,N,7/18/2022,BJR + ARM
GuNi,22,19,1.2,15.79,SE,7/18/2022,BJR + ARM
GuNi,23,18.3,1.8,24.79,N,7/18/2022,BJR + ARM
GuNi,24,17.6,1.1,3.28,SW,7/18/2022,BJR + ARM
GuNi,25,18.6,1.3,31.58,S,7/18/2022,BJR + ARM
GuNi,26,18.7,1.7,5.4,W,7/18/2022,BJR + ARM
GuNi,27,17.7,0.8,27.14,N,7/18/2022,BJR + ARM
GuNi,28,18.4,1.1,13.89,S,7/18/2022,BJR + ARM
GuNi,29,17.8,1.9,11.45,N,7/18/2022,BJR + ARM
GuNi,30,18.3,1.7,25.77,N,7/18/2022,BJR + ARM
GuNi,31,17.7,1.8,24.02,SW,7/18/2022,BJR + ARM
GuNi,32,18.2,1.2,17.49,N,7/18/2022,BJR + ARM
GuNi,33,18.7,1.1,10.94,W,7/18/2022,BJR + ARM
GuNi,34,18.7,2,10.71,SW,7/18/2022,BJR + ARM
GuNi,35,18.6,2,12.19,W,7/18/2022,BJR + ARM
GuNi,36,17.6,1.6,7.15,SW,7/18/2022,BJR + ARM
GuNi,37,18.2,1.3,34.33,W,7/18/2022,BJR + ARM
GuNi,38,18,2,22.68,SW,7/18/2022,BJR + ARM
GuNi,39,18.7,1.3,2.46,SE,7/18/2022,BJR + ARM
GuNi,40,18.3,1.3,29.62,N,7/18/2022,BJR + ARM
